deal,cpm,nat_avail_reach,nat_avail_imp,nat_avail_budget,nat_avail_reach_male,nat_avail_imp_male,nat_avail_budget_male,nat_avail_reach_female,nat_avail_imp_female,nat_avail_budget_female
Prime Video | Preferred Deal | Video | Revive | US | 30 – ROS - $18.40 (EXTSN2B018366PS),35.41,4000000,215000000,3800000,2000000,95000000,1800000,2800000,137000000,2600000
APD First Access UFT STV RON Fixed Price Revive Media,21.17,400000,4000000,45000,185000,1900000,13000,260000,2400000,13000
APD_Streaming TV_Revive_Efficiency_15,28.87,2500000,56000000,875000,1700000,30000000,465000,1300000,24000000,375000
Prime Video ‘watch for free’ | Preferred Deal | Video | Revive | US | 15 – ROS - EXTSFRXM0RBM2NW,22.96,1500000,1400000000,18000000,422000,380000000,4700000,300000,420000000,5300000
APD Select_OLV_Run of APD - apsaa804c87,16.8,25000000,10000000000,275000000,120000000,3000000000,83000000,13000000,4000000000,102000000
Twitch | Preferred Deal | Video | Revive | US | 30 – ROS,26.75,3900000,1600000000,23000000,3700000,1000000000,15000000,2500000,480000000,7000000
APD Select_Streaming TV_Discovery+ PVC aps24036204,48.12,10000,37000,1000,10000,14000,1000,10000,30000,1000
IOA-Disney-DXP-Live-Amazon-2025,43.17,51000,1100000,29000,15000,230000,6000,20000,315000,8000
APD Select_US_OLV_CPM_Efficiency,16,29000000,1300000000,33000000,11500000,280000000,7200000,12300000,318000000,8200000
Disney-Fixed-DSE-Amazon-2025,28.87,22000,1700000,27000,0,0,0,0,0,0
